"name","avg_company_salary","overall_avg_salary","percentage_difference"
"Mantys","650000","91931","607.05%"
"ЛАНИТ","400000","91931","335.11%"
"Torc Robotics","375000","91931","307.91%"
"Illuminate Mission Solutions","375000","91931","307.91%"
"Care.com","350000","91931","280.72%"
"Anthropic","295000","91931","220.89%"
"OpenAI","285000","91931","210.02%"
"Google","254000","91931","176.29%"
"Asana","235000","91931","155.63%"
"Pinterest Job Advertisements","232423","91931","152.82%"
"Genentech","230000","91931","150.19%"
"CliftonLarsonAllen","225000","91931","144.75%"
"GovCIO","225000","91931","144.75%"
"MosaicML","220000","91931","139.31%"
"Ball","218500","91931","137.68%"
"Uclahealthcareers","217000","91931","136.05%"
"F. Hoffmann-La Roche AG","215643","91931","134.57%"
"Channel Personnel Services","210000","91931","128.43%"
"Walmart Global Tech","203833","91931","121.72%"
"ThinkingData","200000","91931","117.55%"
"Airbnb","200000","91931","117.55%"
"Snakorpio Group Inc.","200000","91931","117.55%"
"Upstart","200000","91931","117.55%"
"Withings","200000","91931","117.55%"
"WINGS-ICT-SOLUTIONS","200000","91931","117.55%"
