"job_posted_month","avg_monthly_salary","prev_month_avg_salary","monthly_diff","monthly_diff_percentage"
"1","92966","","",""
"2","94979","92966","2013","2.17%"
"3","93524","94979","-1455","-1.53%"
"4","94807","93524","1283","1.37%"
"5","94298","94807","-509","-0.54%"
"6","97636","94298","3338","3.54%"
"7","98138","97636","502","0.51%"
"8","98105","98138","-33","-0.03%"
"9","92074","98105","-6031","-6.15%"
"10","90216","92074","-1858","-2.02%"
"11","86854","90216","-3362","-3.73%"
"12","86639","86854","-215","-0.25%"
